"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",1,1,0,0,0,0,0,1,0,1,0,0,0,0,1
"2",1,0,0,0,1,0,1,1,1,1,0,0,1,1,1
"3",1,0,0,1,1,0,1,0,0,1,0,0,1,1,1
"4",1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"5",1,1,0,0,0,0,1,1,1,1,0,0,1,0,1
"6",1,0,0,1,1,0,1,1,0,1,0,0,1,1,1
"7",0,1,1,0,0,0,1,1,0,1,0,0,1,0,0
"8",0,1,1,1,0,0,1,0,0,1,1,0,0,1,0
"9",0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"10",1,1,1,0,1,0,0,1,0,1,1,0,1,0,1
"11",0,1,1,1,0,0,0,0,1,1,0,0,0,0,0
"12",1,1,1,0,0,1,1,1,1,1,0,0,1,1,0
"13",1,1,1,0,0,0,1,1,0,1,0,0,1,0,0
"14",1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
"15",1,1,1,0,1,0,1,1,0,1,0,0,1,1,0
"16",1,1,1,0,0,0,1,1,0,0,0,1,1,0,0
"17",0,1,1,0,1,0,1,1,1,1,0,0,1,0,0
"18",1,1,1,1,1,0,1,1,1,1,0,0,0,1,0
"19",1,0,1,1,0,0,1,1,0,1,0,0,1,0,0
"20",1,0,1,1,1,0,1,1,0,1,0,1,1,0,0
"21",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"22",1,1,1,0,0,1,0,1,0,1,0,0,1,0,0
"23",1,0,1,1,0,0,1,0,0,1,0,0,1,1,1
"24",1,0,1,1,1,0,1,1,0,1,0,1,1,0,1
"25",0,1,1,1,1,0,1,1,0,1,0,0,1,0,0
"26",0,1,1,0,0,0,1,1,0,1,0,0,1,0,1
"27",0,1,1,1,0,0,0,0,0,1,0,0,1,1,1
"28",0,1,0,0,0,0,1,1,0,1,0,0,1,0,0
"29",0,1,0,0,0,0,1,1,0,1,0,0,1,0,1
"30",0,1,1,0,0,0,1,1,0,1,0,0,1,0,1
"31",1,0,1,1,1,0,1,1,0,1,0,0,1,0,0
"32",0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"33",1,1,0,0,0,0,1,1,0,1,0,0,1,0,1
"34",0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
"35",0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
"36",1,1,1,0,0,1,1,1,0,0,1,0,1,1,0
"37",1,1,0,0,1,0,1,1,0,1,0,0,1,1,1
"38",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"39",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"40",0,0,0,1,0,0,1,1,0,1,0,0,1,1,1
"41",1,1,1,0,0,0,1,0,0,1,0,0,0,0,1
"42",0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
"43",0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
"44",0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
"45",1,0,0,0,1,0,1,0,1,1,1,1,1,0,1
"46",0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"47",0,1,0,0,1,0,1,1,0,1,0,0,1,0,0
"48",1,1,0,0,0,0,1,1,0,1,0,0,1,0,1
